134,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
41,0,0,0,0,0,0,0,0,0
46,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
47,0,0,0,0,0,0,0,0,0
48,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
49,0,0,0,0,0,0,0,0,0
50,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
59,0.009632562632879992,0.00046542880499995373,0.001029258672949168,0.008450246328057834,0.0022075849416635504,0.004609297009252854,0.0018659214921158697,-0.0013566930729686111,0.0026886810805836618
60,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
61,0.004816281316439996,0.00039893897571424605,0.0008577155607909734,0.0070418719400481946,0.0022075849416635504,0.004609297009252854,0.0016695087034720938,-0.001205949398194321,0.0026886810805836618
66,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
67,0.36000000000000004,0.13999999999999999,-0.11538461538461539,0.18500000000000003,0.042499999999999996,0.33,0.1665,0.251,0.17466666666666666
68,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
69,0.36000000000000004,0.13999999999999999,-0.11538461538461539,0.18500000000000003,0.042499999999999996,0.33,0.1665,0.251,0.17466666666666666
70,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
71,0.36000000000000004,0.13999999999999999,-0.11538461538461539,0.18500000000000003,0.042499999999999996,0.33,0.1665,0.251,0.17466666666666666
72,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
73,0.36000000000000004,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
74,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
75,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
90,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
91,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
92,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
93,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
94,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
95,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
96,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
97,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
98,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
99,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
100,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
101,0.29454545454545455,0.13999999999999999,-0.10714285714285714,0.18500000000000003,0.042499999999999996,0.33,0.15136363636363637,0.251,0.17466666666666666
102,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
103,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
104,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
105,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
106,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
107,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
108,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
109,0.18000000000000002,0.1225,-0.09375,0.13875,0.042499999999999996,0.33,0.1332,0.251,0.15411764705882353
112,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
113,0.8100000000000004,-0.015000000000000027,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.06480000000000002,0.14500000000000002,0.08647058823529415
114,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
115,0.8100000000000004,-0.015000000000000027,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.08647058823529415
116,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
117,0.8100000000000004,-0.018235294117647086,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.08647058823529415
118,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
119,0.8100000000000004,-0.018235294117647086,-0.2249999999999999,0.05000000000000001,0.0049999999999999975,-0.0049999999999999906,0.09230769230769233,0.20272727272727276,0.12666666666666668
122,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
123,0.8100000000000002,-0.07000000000000002,-0.388,-0.12999999999999998,0.0049999999999999975,0.08,0.014705882352941195,0.265,0.03214285714285716
124,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
125,0.8100000000000002,-0.07000000000000002,-0.388,-0.12999999999999998,0.0049999999999999975,0.08,0.014705882352941195,0.265,0.03214285714285716
126,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
127,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
128,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
129,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
130,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
131,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
132,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
133,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
134,descriptors,feedback,appreciation,disagreement,support,encouragement,creativity,degradation,problem_solving
135,0.81,0.78,0.42,0.31,0.08,-0.07,-0.12,-0.6,0.14
